2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94710,1.5 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,632 sq. ft,$8877
Berkeley CA 94710,1.5 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,1152 sq. ft,$10197
Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,733 sq. ft,$8877
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1156 sq. ft,$10197
Berkeley CA 94705,1.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,3800 sq. ft,$7700
Albany CA 94706,1.7 Miles - Walk Score: 90,3 Bedroom,2 Bathroom,1100 sq. ft,$6534
Berkeley CA 94708,1.7 Miles - Walk Score: 38,3 Bedroom,2 Bathroom,1800 sq. ft,$11550
Oakland CA 94609,2 Miles - Walk Score: 85,1 Bedroom,1 Bathroom,800 sq. ft,$7208
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Emeryville CA 94608,2.2 Miles - Walk Score: 69,2 Bedroom,2 Bathroom,935 sq. ft,$10197
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Emeryville CA 94608,2.2 Miles - Walk Score: 69,1 Bedroom,1 Bathroom,635 sq. ft,$8877
Oakland CA 94609,2.2 Miles - Walk Score: 90,1 Bedroom,2 Bathroom,600 sq. ft,$3960
Kensington CA 94707,2.3 Miles - Walk Score: 70,2 Bedroom,1 Bathroom,1140 sq. ft,$4675
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Emeryville CA 94608,2.9 Miles - Walk Score: 81,1 Bedroom,1 Bathroom,720 sq. ft,$3300
Oakland CA 94611,3.4 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,1000 sq. ft,$4400
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
296 Jayne Ave Oakland CA 94610,4.1 Miles - Walk Score: 78,3 Bedroom,2.5 Bathroom,2158 sq. ft,$5885
Oakland CA 94611,4.7 Miles - Walk Score: 48,1 Bedroom,1 Bathroom,1150 sq. ft,$2860
Oakland CA 94611,4.7 Miles - Walk Score: 48,1 Bedroom,1 Bathroom,579 sq. ft,$3000
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,2 Bedroom,1 Bathroom,592 sq. ft,$2500
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,335 sq. ft,$1200
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,741 sq. ft,$2685
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,Studio,1 Bathroom,610 sq. ft,$2360
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,1 Bathroom,856 sq. ft,$2830
1465 65th St Emeryville CA 94608,2.1 Miles - Walk Score: 74,1 Bedroom,1 Bathroom,683 sq. ft,$1650
1465 65th St Emeryville CA 94608,2.1 Miles - Walk Score: 74,2 Bedroom,2 Bathroom,961 sq. ft,$2000
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94704,0.2 Miles - Walk Score: 97,Studio,1 Bathroom,365 sq. ft,$1495
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,153 sq. ft,$1195
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1910 Oxford St Berkeley CA 94704,0.4 Miles - Walk Score: 95,2 Bedroom,1 Bathroom,663 sq. ft,$4060
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1910 Oxford St Berkeley CA 94704,0.4 Miles - Walk Score: 95,2 Bedroom,1 Bathroom,898 sq. ft,$4333
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94703,0.5 Miles - Walk Score: 87,1 Bedroom,1 Bathroom,800 sq. ft,$2975
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1931 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 91,1 Bedroom,1 Bathroom,347 sq. ft,$1595
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1426 Addison St Berkeley CA 94702,0.6 Miles - Walk Score: 82,3 Bedroom,2 Bathroom,1000 sq. ft,$4395
2110 Haste St Berkeley CA 94704,0.6 Miles - Walk Score: 93,2 Bedroom,1 Bathroom,824 sq. ft,$3566
2110 Haste St Berkeley CA 94704,0.6 Miles - Walk Score: 93,1 Bedroom,1 Bathroom,454 sq. ft,$2976
2110 Haste St Berkeley CA 94704,0.6 Miles - Walk Score: 93,2 Bedroom,1 Bathroom,503 sq. ft,$3241
2110 Haste St Berkeley CA 94704,0.6 Miles - Walk Score: 93,2 Bedroom,1 Bathroom,584 sq. ft,$3637
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1901 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 85,2 Bedroom,1 Bathroom,793 sq. ft,$3415
1901 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 85,2 Bedroom,1 Bathroom,878 sq. ft,$3500
1901 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 85,2 Bedroom,1 Bathroom,878 sq. ft,$3500
1901 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 85,3 Bedroom,2 Bathroom,1070 sq. ft,$4585
1901 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 85,1 Bedroom,1 Bathroom,612 sq. ft,$2595
2028 Dwight Way Berkeley CA 94704,0.6 Miles - Walk Score: 89,2 Bedroom,1 Bathroom,875 sq. ft,$2895
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94702,0.6 Miles - Walk Score: 89,3 Bedroom,2 Bathroom,1393 sq. ft,$4500
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,280 sq. ft,$1845
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94704,0.7 Miles - Walk Score: 92,3 Bedroom,2 Bathroom,735 sq. ft,$4295
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2121 Parker St Berkeley CA 94704,0.7 Miles - Walk Score: 91,2 Bedroom,1 Bathroom,650 sq. ft,$2350
Berkeley CA 94709,0.7 Miles - Walk Score: 86,1 Bedroom,1 Bathroom,900 sq. ft,$2600
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Charming Studio 1 bath,0.8 Miles - Walk Score: 89,Studio,1 Bathroom,445 sq. ft,$1995
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94709,0.8 Miles - Walk Score: 87,2 Bedroom,1 Bathroom,760 sq. ft,$2495
2500 Durant Ave Berkeley CA 94704,0.8 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,708 sq. ft,$3045
2500 Durant Ave Berkeley CA 94704,0.8 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,708 sq. ft,$3045
2500 Durant Ave Berkeley CA 94704,0.8 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,551 sq. ft,$2045
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2500 Durant Ave Berkeley CA 94704,0.8 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,708 sq. ft,$3045
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
0.9 Miles - Walk Score: 74,0.9 Miles - Walk Score: 84,1 Bedroom,1 Bathroom,5884 sq. ft,$1400
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2224 Derby St Berkeley CA 94705,0.9 Miles - Walk Score: 87,1 Bedroom,1 Bathroom,750 sq. ft,$2100
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,2 Bedroom,1 Bathroom,800 sq. ft,$1495
2012 Stuart St Berkeley CA 94703,1 Miles - Walk Score: 90,2 Bedroom,1 Bathroom,720 sq. ft,$2480
1236 sq. ft,1 Miles - Walk Score: 89,1 Bedroom,1 Bathroom,500 sq. ft,$1850
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1 Miles - Walk Score: 86,1 Miles - Walk Score: 92,4 Bedroom,3.5 Bathroom,1700 sq. ft,$4800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94710,1.2 Miles - Walk Score: 87,1 Bedroom,1 Bathroom,900 sq. ft,$2900
1106 Oxford St Berkeley CA 94707,1.2 Miles - Walk Score: 54,1 Bedroom,1 Bathroom,650 sq. ft,$2800
Amazing 3 bedroom 1 bath for rent,1.2 Miles - Walk Score: 92,3 Bedroom,1 Bathroom,800 sq. ft,$3395
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2461 Warring St Berkeley CA 94704,1.3 Miles - Walk Score: 74,1 Bedroom,1 Bathroom,700 sq. ft,$1900
2461 Warring St Berkeley CA 94704,1.3 Miles - Walk Score: 74,2 Bedroom,2 Bathroom,1050 sq. ft,$3300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Berkeley CA 94708,1.3 Miles - Walk Score: 36,3 Bedroom,2 Bathroom,1950 sq. ft,$5100
2801 College Ave - 3,1.3 Miles - Walk Score: 89,1 Bedroom,1 Bathroom,573 sq. ft,$2050
2638 Warring St Berkeley CA 94704,1.3 Miles - Walk Score: 54,1 Bedroom,1 Bathroom,701 sq. ft,$1900
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2001 5th St Berkeley CA 94710,1.4 Miles - Walk Score: 94,1 Bedroom,1 Bathroom,725 sq. ft,$3100
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2020 Fourth St Berkeley CA 94710,1.5 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,1078 sq. ft,$3263
2020 Fourth St Berkeley CA 94710,1.5 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,747 sq. ft,$2572
2511 Prince Street - 3,1.5 Miles - Walk Score: 93,1 Bedroom,1 Bathroom,600 sq. ft,$1800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1438 Grizzly Peak,1.6 Miles - Walk Score: 28,3 Bedroom,2 Bathroom,1899 sq. ft,$5200
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,640 sq. ft,$2605
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1168 sq. ft,$3735
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,851 sq. ft,$2690
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1161 sq. ft,$3620
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,741 sq. ft,$2500
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,852 sq. ft,$2860
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1166 sq. ft,$3515
1054 67th St Oakland CA 94608,1.6 Miles - Walk Score: 82,2 Bedroom,1 Bathroom,750 sq. ft,$2175
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1813 63rd St Berkeley CA 94703,1.6 Miles - Walk Score: 83,2 Bedroom,1 Bathroom,865 sq. ft,$2100
1813 63rd St Berkeley CA 94703,1.6 Miles - Walk Score: 83,2 Bedroom,1 Bathroom,865 sq. ft,$1995
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
3110 College Avenue - 06,1.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,900 sq. ft,$2650
2947 Pine Ave Berkeley CA 94705,1.6 Miles - Walk Score: 86,1 Bedroom,1 Bathroom,700 sq. ft,$3450
986 Kains Ave Albany CA 94706,1.7 Miles - Walk Score: 87,2 Bedroom,1 Bathroom,860 sq. ft,$2850
962 63rd St Oakland CA 94608,1.7 Miles - Walk Score: 79,2 Bedroom,1 Bathroom,900 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
720 61st Street Oakland CA 94609,1.7 Miles - Walk Score: 86,3 Bedroom,2 Bathroom,1500 sq. ft,$5000
Berkeley CA 94703,1.7 Miles - Walk Score: 84,3 Bedroom,2 Bathroom,2100 sq. ft,$4200
722 61st Street Oakland CA 94609,1.8 Miles - Walk Score: 86,2 Bedroom,1 Bathroom,700 sq. ft,$3000
1BR/1 1BA Condo - Close to BART,1.8 Miles - Walk Score: 89,1 Bedroom,1.5 Bathroom,1000 sq. ft,$2495
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
715 Pomona Avenue Albany CA 94706,1.8 Miles - Walk Score: 79,4 Bedroom,2 Bathroom,1418 sq. ft,$4500
25 Plaza Drive Berkeley CA 94705,1.8 Miles - Walk Score: 83,3 Bedroom,2 Bathroom,2320 sq. ft,$5995
1200 65th St Emeryville CA 94608,1.9 Miles - Walk Score: 89,2 Bedroom,1 Bathroom,1400 sq. ft,$3500
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
434 60th Street Oakland CA 94609,1.9 Miles - Walk Score: 89,1 Bedroom,1.5 Bathroom,129 sq. ft,$1260
Oakland CA 94609,1.9 Miles - Walk Score: 85,1 Bedroom,1 Bathroom,500 sq. ft,$2850
Upgraded 1912 Craftsman Home,1.9 Miles - Walk Score: 86,2 Bedroom,1.5 Bathroom,1004 sq. ft,$3200
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
Emeryville CA 94608,2 Miles - Walk Score: 86,3 Bedroom,2 Bathroom,1800 sq. ft,$4200
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
